Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
M1VH92,128,16994161,Mitochondrial Rho GTPase,Cyanidioschyzon merolae (strain 10D) (Red alga),280699,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,"Chloroplast, Mitochondrion",nan,nan,nan,Reference proteome,nan
Q55G45,128,8616148,Probable mitochondrial Rho GTPase gemA,Dictyostelium discoideum (Slime mold),44689,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion-endoplasmic reticulum membrane tethering, mitochondrion organization",nan,"Endoplasmic reticulum, Mitochondrion",nan,nan,nan,Reference proteome,nan
S4RBK2,128,,Uncharacterized protein,Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0C2ZP82,129,,Uncharacterized protein,Scleroderma citrinum Foug A,1036808,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0D8XH30,129,,Ras family protein,Dictyocaulus viviparus (Bovine lungworm),29172,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0K6G9C0,129,,Ras-related protein RABG2,Rhizoctonia solani,456999,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0V0QTV0,129,,p-loop containing nucleoside triphosphate hydrolase,Pseudocohnilembus persalinus (Ciliate),266149,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A177ATB6,129,,Uncharacterized protein,Intoshia linei,1819745,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1D2MEN9,129,,Ras-like GTP-binding protein rhoA,Orchesella cincta (Springtail),48709,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JIM6,129,,Small GTPase rab5,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7T1Y4,129,,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2F0B6Q8,129,,NF-kappa-B inhibitor-interacting Ras-like protein 1,Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus),9764,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2P6NB58,129,,Protein disulfide-isomerase,Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding, protein disulfide isomerase activity",Isomerase,signal transduction,nan,"Endoplasmic reticulum, Other locations",nan,nan,nan,Reference proteome,nan
A0A433TJY0,129,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4P9XDF6,129,,Uncharacterized protein,Caulochytrium protostelioides,1555241,nan,nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4V3XCW7,129,,GTPase EF-hand protein of mitochondria 1,Phellinidium pouzarii,167371,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A0A507CDQ8,129,,Uncharacterized protein,Synchytrium microbalum,1806994,"GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
A0A6A5BSJ9,129,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A6H5G4B6,129,,Uncharacterized protein,Nesidiocoris tenuis,355587,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
G4THK2,129,,Probable GTPase Rho1,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
K0T1U7,129,,BTB domain-containing protein,Thalassiosira oceanica (Marine diatom),159749,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
O59781,129,2538910,Mitochondrial Rho GTPase 1,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion-endoplasmic reticulum membrane tethering, mitochondrion organization, regulation of mitochondrion organization",nan,"Endoplasmic reticulum, Mitochondrion",nan,nan,nan,Reference proteome,nan
Q4PB75,129,23563342,Mitochondrial Rho GTPase 1,Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus),237631,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
S8EHI9,129,,Uncharacterized protein,Genlisea aurea,192259,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
T1JJ48,129,,Uncharacterized protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
X6MT40,129,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
X6PC20,129,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A024U9R6,130,20082934,Uncharacterized protein,Aphanomyces invadans,157072,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0C3RQE2,130,,Uncharacterized protein,Phlebiopsis gigantea 11061_1 CR5-6,745531,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0M3K5N2,130,,Uncharacterized protein,Anisakis simplex (Herring worm),6269,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J1IM58,130,,"CLUMA_CG014232, isoform A",Clunio marinus,568069,"calcium ion binding, GTPase activity, GTP binding, protein heterodimerization activity",Hydrolase,nan,nan,"Mitochondrion, Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A0A2G8LDX5,130,,Putative rab-like protein 2A isoform X2,Stichopus japonicus (Sea cucumber),307972,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2T7PT19,130,,40S ribosomal protein S27,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding, metal ion binding, structural constituent of ribosome","Ribonucleoprotein, Ribosomal protein",translation,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A3P6S0E6,130,,Uncharacterized protein,Anisakis simplex (Herring worm),6269,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A444UJP3,130,,EF-hand calcium-binding domain-containing protein 4B,Acipenser ruthenus (Sterlet sturgeon),7906,"calcium ion binding, GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A507DTA5,130,,Uncharacterized protein,Powellomyces hirtus,109895,"GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
A0A507FH89,130,,Uncharacterized protein,Chytriomyces confervae,246404,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5N5T1F6,130,,Ras-related protein Rab-32B,Armadillidium nasatum,96803,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A5BFE1,130,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
D8LK97,130,,Divergent RAB-like GTPase,Ectocarpus siliculosus (Brown alga) (Conferva siliculosa),2880,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
E4WYQ1,130,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
T1JJ01,130,,Uncharacterized protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
V8NBR0,130,,NF-kappa-B inhibitor-interacting Ras-like protein 1,Ophiophagus hannah (King cobra) (Naja hannah),8665,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
W4XV30,130,,Uncharacterized protein,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
X6NMM6,130,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0C3EEW9,131,,Mitochondrial Rho GTPase,Scleroderma citrinum Foug A,1036808,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0V0Y3R7,131,,Ras-like protein family member 12,Trichinella pseudospiralis (Parasitic roundworm),6337,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A168CWG6,131,,"Small GTPase superfamily, Rab type",Ascosphaera apis ARSEF 7405,392613,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1J4J411,131,,Ras-related protein Rab-5A,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4K1S4,131,,Uncharacterized protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7VMD1,131,,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A261XX72,131,,GTPase EF-hand protein of mitochondria 1,Bifiguratus adelaidae,1938954,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A0A267ER02,131,,Mitochondrial Rho GTPase,Macrostomum lignano,282301,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A2G9RKM3,131,,Uncharacterized protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A3S0ZLQ4,131,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A448Z283,131,,Uncharacterized protein,Pseudo-nitzschia multistriata,183589,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A5C7U8,131,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A6G1FYM0,131,,GTP-binding protein-like protein RAB2,Eremomyces bilateralis CBS 781.70,1392243,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6J8E8D4,131,,RHOB,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A2ERD4,131,4762674,"RAS, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
A7SFJ4,131,5508995,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"GTPase activity, GTP binding",nan,"Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis",nan,nan,nan,nan,nan,Reference proteome,nan
M0TC56,131,,Uncharacterized protein,Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis),214687,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,"Endosome, Other locations",nan,nan,nan,Reference proteome,nan
X6NKU6,131,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A078B7E1,132,,Ras-related protein rab-8b,Stylonychia lemnae (Ciliate),5949,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A177UW81,132,,Uncharacterized protein,Tilletia walkeri,117179,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4KL78,132,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4L191,132,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7T1P8,132,,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2G5B8N4,132,,Mitochondrial Rho GTPase,Coemansia reversa (strain ATCC 12441 / NRRL 1564),763665,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A433TSB1,132,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A553NPH0,132,,Anoctamin,Tigriopus californicus (Marine copepod),6832,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A6A5BI96,132,,F-box domain-containing protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6H5GZ57,132,,Uncharacterized protein,Nesidiocoris tenuis,355587,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
G4NCS1,132,2674199,Mitochondrial Rho GTPase,Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae),242507,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
J9DPI2,132,,Small GTP-binding protein domain,Edhazardia aedis (strain USNM 41457) (Microsporidian parasite),1003232,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
L8GK06,132,14913271,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
S4RAG4,132,,Uncharacterized protein,Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
T1F4E7,132,20203696,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
V8NST2,132,,GTP-binding protein GEM,Ophiophagus hannah (King cobra) (Naja hannah),8665,"GTPase activity, GTP binding",nan,"negative regulation of high voltage-gated calcium channel activity, signal transduction",nan,Other locations,nan,nan,nan,Reference proteome,nan
W2ST70,132,25354026,Ras family protein,Necator americanus (Human hookworm),51031,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
W4YJY8,132,,Uncharacterized protein,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
W7IBG3,132,,Mitochondrial Rho GTPase,Drechslerella stenobrocha 248,1043628,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
X6LNI9,132,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A067N1X0,133,,Mitochondrial Rho GTPase,Botryobasidium botryosum FD-172 SS1,930990,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A077ZD45,133,,Miro domain containing protein,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0L0DKC1,133,25567564,Uncharacterized protein,Thecamonas trahens ATCC 50062,461836,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A369GL20,133,,Mitochondrial Rho GTPase,Ophiocordyceps camponoti-leonardi (nom. inval.),2039875,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A553NVQ8,133,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5N5TD90,133,,Ras-related protein Rab-33B,Armadillidium nasatum,96803,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6J8D280,133,,COR domain-containing protein,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
G4TCH1,133,,GTPase EF-hand protein of mitochondria 1,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
S4RS36,133,,Uncharacterized protein,Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
W7T4Q8,133,,Rab family gtpase,Nannochloropsis gaditana,72520,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A075ANM0,134,,Small GTPase superfamily domain-containing protein,Rozella allomycis (strain CSF55),988480,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0B2VNM0,134,,Uncharacterized protein,Toxocara canis (Canine roundworm),6265,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7VXN0,134,,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
